label,titletext
4,財務金融學系可以修其他系的課程嗎?
2,統計學系可以考哪些證照？
4,財務金融學系畢業校友通常任職哪些行業?
0,運輸管理學系的就業機會有哪些？
1,國際企業學系很難讀嗎?
7,何種特質的學生適合念經濟系?
10,資訊管理學系畢業後升學的方向有哪些？
1,國際企業學系專業之未來發展為何呢?
4,財金系英文畢業門檻是什麼?
10,能告訴我選擇淡江資管系而非其他學校的理由嗎?
12,風險管理與保險學系面試時間如果與其他校系衝突，可以調整嗎？
13,公共行政學系與產業接觸的機會有很多嗎？
1,國際企業學系的國際商學全英語組有哪些大三出國合作學校
12,風保系是否能自行選填面試的時間?
14,會計系有什麼學程資訊可以介紹一下嗎？
12,風保系畢業後升學的方向有哪些？
14,會計系畢業校友通常任職哪些行業?
12,風保系有校外實習或參訪見習的機會嗎？
1,國際企業學系英文畢業門檻是什麼?
10,資管系畢業後升學的方向有哪些？
2,統計學系企業導師制度是蝦米?
1,就讀國際企業學系的學生畢業學分數要求?
13,念公行系有利參加公職人員考試嗎？
10,淡江大學資訊相關科系的差異？
9,念完產業經濟學系之後會變成怎麼樣的人?
12,風保系的精進專業課程學什麼?
12,風險管理與保險學系與商管其他科的不同之處?
10,資訊管理學系有出國交換的機會嗎?
6,企業管理學系可以考哪些證照？
10,資管系個人申請面試時間與地點?
10,資訊管理學系可以提早預讀碩士班嗎?
12,風保系有什麼特色？
13,公行系有哪些優秀的畢業系友?
6,企業管理學系可以提早預讀碩士班課程嗎?
7,經濟系可以提早預讀碩士班嗎?
9,產經系面試要帶口罩嗎?
3,何種特質的學生適合念商管學院?
0,運輸管理學系面試時間如果與其他校系衝突，可以調整嗎？
8,管科系英文畢業門檻是什麼?
1,國際企業學系有哪些師資？ 
1,國企系個人申請面試時間與地點?
13,公共行政學系的就業機會有哪些？
0,運管系畢業校友通常任職哪些行業?
2,統計學系與商管其他科的不同之處?
14,會計學系有哪些優秀的畢業系友?
0,運輸管理學系面試時有規定穿著或額外準備的需求嗎？
5,商管學院全球財務管理全英語學士學位有什麼特色？
7,經濟系的就業機會有哪些？
0,運輸管理學系有什麼學程資訊可以介紹一下嗎？
5,全財管面試要帶口罩嗎?
1,國企系可以提早預讀碩士班課程嗎?
4,財務金融學系課程內容為何？
14,會計學系能雙主修或輔其他系嗎?
8,管理科學學系可以提早預讀碩士班課程嗎?
1,國企系有系內專屬的獎學金嗎？
5,能告訴我選擇淡江全財管而非其他學校的理由嗎?
14,會計學系和其他類似學系有何不同?
12,風險管理與保險學系面試會要求以英語自我介紹嗎？
13,公共行政學系面試會要求以英語自我介紹嗎？
2,念完統計系之後會變成什麼樣的人?
7,經濟系面試時有規定穿著或額外準備的需求嗎？
9,產業經濟學系畢業校友通常任職哪些行業?
13,就讀公行系的學生畢業學分數要求?
4,何種特質的學生適合念財務金融學系?
8,能告訴我選擇淡江管理科學學系而非其他學校的理由嗎?
4,財務金融學系可以提早預讀碩士班課程嗎?
7,經濟學系有什麼特色？
5,商管學院全球財務管理全英語學士學位與產業接觸的機會有很多嗎？
7,經濟學系畢業校友通常任職哪些行業?
7,經濟學系面試時間如果與其他校系衝突，可以調整嗎？
7,經濟學系可以修其他系的課程嗎?
14,會計學系畢業後升學的方向有哪些？
7,經濟學系和其他類似學系有何不同?
9,產業經濟學系可以提早預讀碩士班課程嗎?
10,資管系可以修其他系的課程嗎?
10,讀資管系有什麼優勢?
1,國企系的就業機會有哪些？
5,全財管有哪些師資？ 
10,資管系面試時需要攜帶紙本資料提供面試委員參閱嗎？
0,運輸管理學系可以修其他系的課程嗎?
5,全財管是否能自行選填面試的時間?
5,什麼是『商管學院全球財務管理全英語學士學位學程』?為什麼不叫做『學系』? 
13,公共行政學系畢業後只能在政府部門任職嗎？
8,管理科學學系每學期要修多少學分數?
7,經濟學系可以考哪些證照？
1,國企系很難讀嗎?
0,運輸管理學系能雙主修或輔其他系嗎?
2,統計系面試的方式為何？
6,企業管理學系與產業接觸的機會有很多嗎？
5,全財管有哪些資訊相關競賽?
9,請說明產經系五年一貫預研生與貴系國內外雙學位碩士
9,產業經濟學系有哪些資訊相關競賽?
6,企管系面試時需要攜帶紙本資料提供面試委員參閱嗎？
8,管科系的事業經營組和行銷流通組的差別？入學以後可以選另外一組的課程嗎？
1,國企系有什麼學程資訊可以介紹一下嗎？
3,能告訴我選擇淡江商管學院而非其他學校的理由嗎?
3,淡江大學相對於其他大學的優勢是什麼?
7,經濟學系專業之未來發展為何呢?
13,公行系畢業後升學的方向有哪些？
5,商管學院全球財務管理全英語學士學位與商管其他科的不同之處?
14,會計學系面試要帶口罩嗎?
9,產業經濟學系和其他類似學系有何不同?
13,公共行政學系面試要帶口罩嗎?
12,風保系課程內容為何？
5,全財管全英語學士學位學程位於哪個校園?
9,產經系每學期要修多少學分數?
4,財金系畢業後升學的方向有哪些？
7,經濟系可以考哪些證照？
5,商管學院全球財務管理全英語學士學位英文畢業門檻是什麼?
2,統計學系有哪些資訊相關競賽?
9,產經系面試會要求以英語自我介紹嗎？
8,管科系每學期要修多少學分數?
2,念完統計系之後會變成怎麼樣的人?
2,統計系有哪些資訊相關競賽?
0,運輸管理學系很難讀嗎?
3,商管學院有哪些師資？ 
0,運管系的就業機會有哪些？
7,經濟系有什麼學程資訊可以介紹一下嗎？
4,財金系面試時有規定穿著或額外準備的需求嗎？
4,財務金融學系有哪些資訊相關競賽?
13,公行系有校外實習或參訪見習的機會嗎？
10,資訊管理學系面試會要求以英語自我介紹嗎？
4,財務金融學系很難讀嗎?
9,讀產經系有什麼優勢?
0,運管系有什麼學程資訊可以介紹一下嗎？
14,會計學系同學是否有機會出國交換或申請雙聯學位？
12,風險管理與保險學系專業之未來發展為何呢?
12,風保系有機會提前畢業嗎？
6,企管系有系內專屬的獎學金嗎？
