label,titletext
10,財務金融學系可以修其他系的課程嗎?
7,統計學系可以考哪些證照？
10,財務金融學系畢業校友通常任職哪些行業?
6,運輸管理學系的就業機會有哪些？
14,國際企業學系很難讀嗎?
1,何種特質的學生適合念經濟系?
12,資訊管理學系畢業後升學的方向有哪些？
14,國際企業學系專業之未來發展為何呢?
10,財金系英文畢業門檻是什麼?
12,能告訴我選擇淡江資管系而非其他學校的理由嗎?
2,風險管理與保險學系面試時間如果與其他校系衝突，可以調整嗎？
4,公共行政學系與產業接觸的機會有很多嗎？
14,國際企業學系的國際商學全英語組有哪些大三出國合作學校
2,風保系是否能自行選填面試的時間?
0,會計系有什麼學程資訊可以介紹一下嗎？
2,風保系畢業後升學的方向有哪些？
0,會計系畢業校友通常任職哪些行業?
2,風保系有校外實習或參訪見習的機會嗎？
14,國際企業學系英文畢業門檻是什麼?
12,資管系畢業後升學的方向有哪些？
7,統計學系企業導師制度是蝦米?
14,就讀國際企業學系的學生畢業學分數要求?
4,念公行系有利參加公職人員考試嗎？
12,淡江大學資訊相關科系的差異？
9,念完產業經濟學系之後會變成怎麼樣的人?
2,風保系的精進專業課程學什麼?
2,風險管理與保險學系與商管其他科的不同之處?
12,資訊管理學系有出國交換的機會嗎?
8,企業管理學系可以考哪些證照？
12,資管系個人申請面試時間與地點?
12,資訊管理學系可以提早預讀碩士班嗎?
2,風保系有什麼特色？
4,公行系有哪些優秀的畢業系友?
8,企業管理學系可以提早預讀碩士班課程嗎?
1,經濟系可以提早預讀碩士班嗎?
9,產經系面試要帶口罩嗎?
3,何種特質的學生適合念商管學院?
6,運輸管理學系面試時間如果與其他校系衝突，可以調整嗎？
13,管科系英文畢業門檻是什麼?
14,國際企業學系有哪些師資？ 
14,國企系個人申請面試時間與地點?
4,公共行政學系的就業機會有哪些？
6,運管系畢業校友通常任職哪些行業?
7,統計學系與商管其他科的不同之處?
0,會計學系有哪些優秀的畢業系友?
